,A,Ea,P [Pa],T [K],b,kb,kf
0,347850500.0,83680000.0,101325.0,1000.0,0.0,[0.],[14807.5438658]
1,347850500.0,83680000.0,101325.0,1001.0,0.0,[0.],[14957.17486109]
2,347850500.0,83680000.0,101325.00000000001,1002.0,0.0,[0.],[15108.01468653]
3,347850500.0,83680000.0,101325.0,1003.0,0.0,[0.],[15260.07036414]
4,347850500.0,83680000.0,101325.0,1004.0,0.0,[0.],[15413.34893711]
5,347850500.0,83680000.0,101325.00000000001,1005.0,0.0,[0.],[15567.85746967]
6,347850500.0,83680000.0,101325.00000000001,1006.0,0.0,[0.],[15723.6030471]
7,347850500.0,83680000.0,101325.0,1007.0,0.0,[0.],[15880.59277567]
8,347850500.0,83680000.0,101325.0,1008.0,0.0,[0.],[16038.8337826]
9,347850500.0,83680000.0,101325.0,1009.0,0.0,[0.],[16198.33321604]
10,347850500.0,83680000.0,101325.0,1010.0,0.0,[0.],[16359.09824497]
11,347850500.0,83680000.0,101325.0,1011.0,0.0,[0.],[16521.13605922]
12,347850500.0,83680000.0,101324.99999999999,1012.0,0.0,[0.],[16684.45386938]
13,347850500.0,83680000.0,101325.00000000001,1013.0,0.0,[0.],[16849.0589068]
14,347850500.0,83680000.0,101324.99999999999,1014.0,0.0,[0.],[17014.9584235]
15,347850500.0,83680000.0,101325.0,1015.0,0.0,[0.],[17182.15969213]
16,347850500.0,83680000.0,101324.99999999997,1016.0,0.0,[0.],[17350.67000596]
17,347850500.0,83680000.0,101325.00000000001,1017.0,0.0,[0.],[17520.49667881]
18,347850500.0,83680000.0,101325.0,1018.0,0.0,[0.],[17691.64704499]
19,347850500.0,83680000.0,101325.0,1019.0,0.0,[0.],[17864.12845929]
20,347850500.0,83680000.0,101325.0,1020.0,0.0,[0.],[18037.94829689]
21,347850500.0,83680000.0,101325.0,1021.0,0.0,[0.],[18213.11395335]
22,347850500.0,83680000.0,101325.0,1022.0,0.0,[0.],[18389.63284453]
23,347850500.0,83680000.0,101324.99999999999,1023.0,0.0,[0.],[18567.51240657]
24,347850500.0,83680000.0,101325.00000000001,1024.0,0.0,[0.],[18746.76009583]
25,347850500.0,83680000.0,101325.0,1025.0,0.0,[0.],[18927.38338881]
26,347850500.0,83680000.0,101325.0,1026.0,0.0,[0.],[19109.38978217]
27,347850500.0,83680000.0,101325.00000000001,1027.0,0.0,[0.],[19292.78679262]
28,347850500.0,83680000.0,101324.99999999999,1028.0,0.0,[0.],[19477.58195688]
29,347850500.0,83680000.0,101325.0,1029.0,0.0,[0.],[19663.78283166]
30,347850500.0,83680000.0,101324.99999999999,1030.0,0.0,[0.],[19851.39699356]
31,347850500.0,83680000.0,101325.0,1031.0,0.0,[0.],[20040.43203908]
32,347850500.0,83680000.0,101325.0,1032.0,0.0,[0.],[20230.8955845]
33,347850500.0,83680000.0,101325.0,1033.0,0.0,[0.],[20422.79526589]
34,347850500.0,83680000.0,101325.00000000001,1034.0,0.0,[0.],[20616.13873901]
35,347850500.0,83680000.0,101325.0,1035.0,0.0,[0.],[20810.93367929]
36,347850500.0,83680000.0,101325.0,1036.0,0.0,[0.],[21007.18778176]
37,347850500.0,83680000.0,101325.0,1037.0,0.0,[0.],[21204.90876098]
38,347850500.0,83680000.0,101325.00000000001,1038.0,0.0,[0.],[21404.10435105]
39,347850500.0,83680000.0,101324.99999999999,1039.0,0.0,[0.],[21604.78230546]
40,347850500.0,83680000.0,101325.0,1040.0,0.0,[0.],[21806.95039713]
41,347850500.0,83680000.0,101325.00000000001,1041.0,0.0,[0.],[22010.61641828]
42,347850500.0,83680000.0,101324.99999999999,1042.0,0.0,[0.],[22215.78818044]
43,347850500.0,83680000.0,101325.0,1043.0,0.0,[0.],[22422.47351433]
44,347850500.0,83680000.0,101325.0,1044.0,0.0,[0.],[22630.68026984]
45,347850500.0,83680000.0,101324.99999999999,1045.0,0.0,[0.],[22840.416316]
46,347850500.0,83680000.0,101324.99999999999,1046.0,0.0,[0.],[23051.68954085]
47,347850500.0,83680000.0,101325.0,1047.0,0.0,[0.],[23264.50785145]
48,347850500.0,83680000.0,101325.00000000003,1048.0,0.0,[0.],[23478.8791738]
49,347850500.0,83680000.0,101325.0,1049.0,0.0,[0.],[23694.81145276]
50,347850500.0,83680000.0,101325.00000000001,1050.0,0.0,[0.],[23912.31265203]
51,347850500.0,83680000.0,101325.0,1051.0,0.0,[0.],[24131.39075407]
52,347850500.0,83680000.0,101325.00000000001,1052.0,0.0,[0.],[24352.05376004]
53,347850500.0,83680000.0,101324.99999999997,1053.0,0.0,[0.],[24574.30968977]
54,347850500.0,83680000.0,101325.0,1054.0,0.0,[0.],[24798.16658164]
55,347850500.0,83680000.0,101324.99999999999,1055.0,0.0,[0.],[25023.63249258]
56,347850500.0,83680000.0,101325.0,1056.0,0.0,[0.],[25250.71549799]
57,347850500.0,83680000.0,101325.0,1057.0,0.0,[0.],[25479.42369167]
58,347850500.0,83680000.0,101325.0,1058.0,0.0,[0.],[25709.76518577]
59,347850500.0,83680000.0,101325.00000000003,1059.0,0.0,[0.],[25941.74811073]
60,347850500.0,83680000.0,101324.99999999999,1060.0,0.0,[0.],[26175.38061522]
61,347850500.0,83680000.0,101325.00000000001,1061.0,0.0,[0.],[26410.67086605]
62,347850500.0,83680000.0,101325.0,1062.0,0.0,[0.],[26647.62704816]
63,347850500.0,83680000.0,101325.0,1063.0,0.0,[0.],[26886.25736452]
64,347850500.0,83680000.0,101325.00000000001,1064.0,0.0,[0.],[27126.57003608]
65,347850500.0,83680000.0,101325.00000000001,1065.0,0.0,[0.],[27368.5733017]
66,347850500.0,83680000.0,101325.00000000001,1066.0,0.0,[0.],[27612.27541811]
67,347850500.0,83680000.0,101325.0,1067.0,0.0,[0.],[27857.68465981]
68,347850500.0,83680000.0,101325.00000000001,1068.0,0.0,[0.],[28104.80931903]
69,347850500.0,83680000.0,101325.00000000001,1069.0,0.0,[0.],[28353.65770569]
70,347850500.0,83680000.0,101325.00000000001,1070.0,0.0,[0.],[28604.23814726]
71,347850500.0,83680000.0,101325.00000000001,1071.0,0.0,[0.],[28856.55898879]
72,347850500.0,83680000.0,101325.0,1072.0,0.0,[0.],[29110.62859278]
73,347850500.0,83680000.0,101325.00000000001,1073.0,0.0,[0.],[29366.45533913]
74,347850500.0,83680000.0,101324.99999999999,1074.0,0.0,[0.],[29624.04762511]
75,347850500.0,83680000.0,101325.00000000001,1075.0,0.0,[0.],[29883.41386523]
76,347850500.0,83680000.0,101324.99999999999,1076.0,0.0,[0.],[30144.56249122]
77,347850500.0,83680000.0,101325.00000000001,1077.0,0.0,[0.],[30407.50195198]
78,347850500.0,83680000.0,101325.0,1078.0,0.0,[0.],[30672.24071345]
79,347850500.0,83680000.0,101324.99999999999,1079.0,0.0,[0.],[30938.7872586]
80,347850500.0,83680000.0,101325.00000000001,1080.0,0.0,[0.],[31207.15008736]
81,347850500.0,83680000.0,101324.99999999999,1081.0,0.0,[0.],[31477.33771651]
82,347850500.0,83680000.0,101325.00000000001,1082.0,0.0,[0.],[31749.35867965]
83,347850500.0,83680000.0,101325.0,1083.0,0.0,[0.],[32023.22152715]
84,347850500.0,83680000.0,101325.00000000001,1084.0,0.0,[0.],[32298.93482602]
85,347850500.0,83680000.0,101324.99999999999,1085.0,0.0,[0.],[32576.5071599]
86,347850500.0,83680000.0,101325.0,1086.0,0.0,[0.],[32855.94712895]
87,347850500.0,83680000.0,101325.00000000001,1087.0,0.0,[0.],[33137.26334984]
88,347850500.0,83680000.0,101325.0,1088.0,0.0,[0.],[33420.46445562]
89,347850500.0,83680000.0,101325.00000000001,1089.0,0.0,[0.],[33705.55909566]
90,347850500.0,83680000.0,101324.99999999999,1090.0,0.0,[0.],[33992.55593562]
91,347850500.0,83680000.0,101324.99999999999,1091.0,0.0,[0.],[34281.46365736]
92,347850500.0,83680000.0,101325.0,1092.0,0.0,[0.],[34572.29095885]
93,347850500.0,83680000.0,101325.0,1093.0,0.0,[0.],[34865.04655412]
94,347850500.0,83680000.0,101325.00000000001,1094.0,0.0,[0.],[35159.73917321]
95,347850500.0,83680000.0,101325.0,1095.0,0.0,[0.],[35456.37756206]
96,347850500.0,83680000.0,101325.0,1096.0,0.0,[0.],[35754.97048245]
97,347850500.0,83680000.0,101324.99999999999,1097.0,0.0,[0.],[36055.52671195]
98,347850500.0,83680000.0,101325.00000000001,1098.0,0.0,[0.],[36358.05504385]
99,347850500.0,83680000.0,101325.0,1099.0,0.0,[0.],[36662.56428705]
100,347850500.0,83680000.0,101325.00000000001,1100.0,0.0,[0.],[36969.06326602]
101,347850500.0,83680000.0,101325.0,1101.0,0.0,[0.],[37277.56082074]
102,347850500.0,83680000.0,101325.00000000001,1102.0,0.0,[0.],[37588.0658066]
103,347850500.0,83680000.0,101325.00000000003,1103.0,0.0,[0.],[37900.58709433]
104,347850500.0,83680000.0,101324.99999999999,1104.0,0.0,[0.],[38215.13356996]
105,347850500.0,83680000.0,101325.0,1105.0,0.0,[0.],[38531.71413471]
106,347850500.0,83680000.0,101324.99999999999,1106.0,0.0,[0.],[38850.33770493]
107,347850500.0,83680000.0,101325.0,1107.0,0.0,[0.],[39171.01321206]
108,347850500.0,83680000.0,101325.0,1108.0,0.0,[0.],[39493.7496025]
109,347850500.0,83680000.0,101325.0,1109.0,0.0,[0.],[39818.55583756]
110,347850500.0,83680000.0,101325.0,1110.0,0.0,[0.],[40145.44089343]
111,347850500.0,83680000.0,101325.0,1111.0,0.0,[0.],[40474.41376103]
112,347850500.0,83680000.0,101325.00000000001,1112.0,0.0,[0.],[40805.48344599]
113,347850500.0,83680000.0,101324.99999999999,1113.0,0.0,[0.],[41138.65896858]
114,347850500.0,83680000.0,101325.0,1114.0,0.0,[0.],[41473.94936359]
115,347850500.0,83680000.0,101325.0,1115.0,0.0,[0.],[41811.3636803]
116,347850500.0,83680000.0,101325.00000000001,1116.0,0.0,[0.],[42150.91098239]
117,347850500.0,83680000.0,101325.0,1117.0,0.0,[0.],[42492.60034786]
118,347850500.0,83680000.0,101325.00000000001,1118.0,0.0,[0.],[42836.44086897]
119,347850500.0,83680000.0,101325.00000000001,1119.0,0.0,[0.],[43182.44165215]
120,347850500.0,83680000.0,101325.0,1120.0,0.0,[0.],[43530.61181794]
121,347850500.0,83680000.0,101325.00000000003,1121.0,0.0,[0.],[43880.9605009]
122,347850500.0,83680000.0,101325.0,1122.0,0.0,[0.],[44233.49684955]
123,347850500.0,83680000.0,101325.00000000001,1123.0,0.0,[0.],[44588.23002627]
124,347850500.0,83680000.0,101325.0,1124.0,0.0,[0.],[44945.16920726]
125,347850500.0,83680000.0,101325.0,1125.0,0.0,[0.],[45304.32358245]
126,347850500.0,83680000.0,101325.00000000001,1126.0,0.0,[0.],[45665.70235539]
127,347850500.0,83680000.0,101324.99999999999,1127.0,0.0,[0.],[46029.31474325]
128,347850500.0,83680000.0,101325.0,1128.0,0.0,[0.],[46395.16997665]
129,347850500.0,83680000.0,101325.0,1129.0,0.0,[0.],[46763.27729967]
130,347850500.0,83680000.0,101325.00000000001,1130.0,0.0,[0.],[47133.64596972]
131,347850500.0,83680000.0,101324.99999999999,1131.0,0.0,[0.],[47506.28525748]
132,347850500.0,83680000.0,101325.0,1132.0,0.0,[0.],[47881.20444683]
133,347850500.0,83680000.0,101325.0,1133.0,0.0,[0.],[48258.41283476]
134,347850500.0,83680000.0,101325.00000000001,1134.0,0.0,[0.],[48637.9197313]
135,347850500.0,83680000.0,101325.00000000001,1135.0,0.0,[0.],[49019.73445945]
136,347850500.0,83680000.0,101325.00000000001,1136.0,0.0,[0.],[49403.86635509]
137,347850500.0,83680000.0,101325.00000000001,1137.0,0.0,[0.],[49790.32476691]
138,347850500.0,83680000.0,101325.0,1138.0,0.0,[0.],[50179.11905633]
139,347850500.0,83680000.0,101325.0,1139.0,0.0,[0.],[50570.25859742]
140,347850500.0,83680000.0,101324.99999999999,1140.0,0.0,[0.],[50963.75277683]
141,347850500.0,83680000.0,101325.0,1141.0,0.0,[0.],[51359.61099373]
142,347850500.0,83680000.0,101325.0,1142.0,0.0,[0.],[51757.84265967]
143,347850500.0,83680000.0,101324.99999999997,1143.0,0.0,[0.],[52158.45719858]
144,347850500.0,83680000.0,101325.00000000001,1144.0,0.0,[0.],[52561.46404663]
145,347850500.0,83680000.0,101325.0,1145.0,0.0,[0.],[52966.87265218]
146,347850500.0,83680000.0,101325.0,1146.0,0.0,[0.],[53374.69247573]
147,347850500.0,83680000.0,101325.00000000001,1147.0,0.0,[0.],[53784.93298976]
148,347850500.0,83680000.0,101324.99999999999,1148.0,0.0,[0.],[54197.60367875]
149,347850500.0,83680000.0,101325.0,1149.0,0.0,[0.],[54612.71403901]
150,347850500.0,83680000.0,101324.99999999997,1150.0,0.0,[0.],[55030.27357869]
151,347850500.0,83680000.0,101325.00000000001,1151.0,0.0,[0.],[55450.29181762]
152,347850500.0,83680000.0,101324.99999999999,1152.0,0.0,[0.],[55872.77828729]
153,347850500.0,83680000.0,101325.0,1153.0,0.0,[0.],[56297.74253073]
154,347850500.0,83680000.0,101325.00000000001,1154.0,0.0,[0.],[56725.19410247]
155,347850500.0,83680000.0,101325.00000000001,1155.0,0.0,[0.],[57155.14256842]
156,347850500.0,83680000.0,101325.0,1156.0,0.0,[0.],[57587.59750584]
157,347850500.0,83680000.0,101325.0,1157.0,0.0,[0.],[58022.56850319]
158,347850500.0,83680000.0,101325.00000000001,1158.0,0.0,[0.],[58460.06516014]
159,347850500.0,83680000.0,101325.0,1159.0,0.0,[0.],[58900.09708741]
160,347850500.0,83680000.0,101325.00000000001,1160.0,0.0,[0.],[59342.67390674]
161,347850500.0,83680000.0,101325.00000000001,1161.0,0.0,[0.],[59787.80525079]
162,347850500.0,83680000.0,101325.0,1162.0,0.0,[0.],[60235.50076307]
163,347850500.0,83680000.0,101324.99999999999,1163.0,0.0,[0.],[60685.77009784]
164,347850500.0,83680000.0,101325.0,1164.0,0.0,[0.],[61138.62292007]
165,347850500.0,83680000.0,101325.00000000001,1165.0,0.0,[0.],[61594.06890532]
166,347850500.0,83680000.0,101325.0,1166.0,0.0,[0.],[62052.11773968]
167,347850500.0,83680000.0,101324.99999999999,1167.0,0.0,[0.],[62512.77911968]
168,347850500.0,83680000.0,101325.0,1168.0,0.0,[0.],[62976.06275222]
169,347850500.0,83680000.0,101325.00000000001,1169.0,0.0,[0.],[63441.9783545]
170,347850500.0,83680000.0,101324.99999999999,1170.0,0.0,[0.],[63910.5356539]
171,347850500.0,83680000.0,101325.00000000001,1171.0,0.0,[0.],[64381.74438795]
172,347850500.0,83680000.0,101325.00000000003,1172.0,0.0,[0.],[64855.61430421]
173,347850500.0,83680000.0,101325.0,1173.0,0.0,[0.],[65332.15516022]
174,347850500.0,83680000.0,101325.0,1174.0,0.0,[0.],[65811.37672339]
175,347850500.0,83680000.0,101325.0,1175.0,0.0,[0.],[66293.28877094]
176,347850500.0,83680000.0,101325.0,1176.0,0.0,[0.],[66777.90108982]
177,347850500.0,83680000.0,101325.0,1177.0,0.0,[0.],[67265.22347661]
178,347850500.0,83680000.0,101325.0,1178.0,0.0,[0.],[67755.26573747]
179,347850500.0,83680000.0,101325.0,1179.0,0.0,[0.],[68248.03768803]
