,A,Ea,P [Pa],T [K],b,kb,kf
0,347850500.0,83680000.0,101325.0,400.0,0.0,[0.],[0.00411262]
1,347850500.0,83680000.0,101325.0,401.0,0.0,[0.],[0.00437894]
2,347850500.0,83680000.0,101325.0,402.0,0.0,[0.],[0.00466104]
3,347850500.0,83680000.0,101325.0,403.0,0.0,[0.],[0.00495979]
4,347850500.0,83680000.0,101324.99999999999,404.0,0.0,[0.],[0.00527606]
5,347850500.0,83680000.0,101324.99999999999,405.0,0.0,[0.],[0.00561078]
6,347850500.0,83680000.0,101325.0,406.0,0.0,[0.],[0.00596493]
7,347850500.0,83680000.0,101325.0,407.0,0.0,[0.],[0.00633953]
8,347850500.0,83680000.0,101325.0,408.0,0.0,[0.],[0.00673564]
9,347850500.0,83680000.0,101325.0,409.0,0.0,[0.],[0.00715438]
10,347850500.0,83680000.0,101325.00000000001,410.0,0.0,[0.],[0.00759692]
11,347850500.0,83680000.0,101325.0,411.0,0.0,[0.],[0.00806447]
12,347850500.0,83680000.0,101325.0,412.0,0.0,[0.],[0.00855832]
13,347850500.0,83680000.0,101324.99999999999,413.0,0.0,[0.],[0.0090798]
14,347850500.0,83680000.0,101325.0,414.0,0.0,[0.],[0.0096303]
15,347850500.0,83680000.0,101325.0,415.0,0.0,[0.],[0.01021128]
16,347850500.0,83680000.0,101325.0,416.0,0.0,[0.],[0.01082426]
17,347850500.0,83680000.0,101325.00000000001,417.0,0.0,[0.],[0.01147083]
18,347850500.0,83680000.0,101325.0,418.0,0.0,[0.],[0.01215265]
19,347850500.0,83680000.0,101325.0,419.0,0.0,[0.],[0.01287145]
20,347850500.0,83680000.0,101324.99999999999,420.0,0.0,[0.],[0.01362903]
21,347850500.0,83680000.0,101325.0,421.0,0.0,[0.],[0.01442728]
22,347850500.0,83680000.0,101325.00000000001,422.0,0.0,[0.],[0.01526817]
23,347850500.0,83680000.0,101325.0,423.0,0.0,[0.],[0.01615374]
24,347850500.0,83680000.0,101325.0,424.0,0.0,[0.],[0.01708612]
25,347850500.0,83680000.0,101325.0,425.0,0.0,[0.],[0.01806756]
26,347850500.0,83680000.0,101325.0,426.0,0.0,[0.],[0.01910036]
27,347850500.0,83680000.0,101324.99999999999,427.0,0.0,[0.],[0.02018693]
28,347850500.0,83680000.0,101325.0,428.0,0.0,[0.],[0.02132981]
29,347850500.0,83680000.0,101325.0,429.0,0.0,[0.],[0.02253161]
30,347850500.0,83680000.0,101325.0,430.0,0.0,[0.],[0.02379505]
31,347850500.0,83680000.0,101324.99999999999,431.0,0.0,[0.],[0.02512297]
32,347850500.0,83680000.0,101324.99999999999,432.0,0.0,[0.],[0.02651834]
33,347850500.0,83680000.0,101325.0,433.0,0.0,[0.],[0.02798422]
34,347850500.0,83680000.0,101325.00000000001,434.0,0.0,[0.],[0.02952381]
35,347850500.0,83680000.0,101325.0,435.0,0.0,[0.],[0.03114043]
36,347850500.0,83680000.0,101325.0,436.0,0.0,[0.],[0.03283754]
37,347850500.0,83680000.0,101325.00000000001,437.0,0.0,[0.],[0.03461873]
38,347850500.0,83680000.0,101325.0,438.0,0.0,[0.],[0.03648774]
39,347850500.0,83680000.0,101325.0,439.0,0.0,[0.],[0.03844844]
40,347850500.0,83680000.0,101325.0,440.0,0.0,[0.],[0.04050486]
41,347850500.0,83680000.0,101325.0,441.0,0.0,[0.],[0.04266119]
42,347850500.0,83680000.0,101325.0,442.0,0.0,[0.],[0.04492177]
43,347850500.0,83680000.0,101324.99999999999,443.0,0.0,[0.],[0.04729111]
44,347850500.0,83680000.0,101325.0,444.0,0.0,[0.],[0.0497739]
45,347850500.0,83680000.0,101325.00000000001,445.0,0.0,[0.],[0.05237498]
46,347850500.0,83680000.0,101325.0,446.0,0.0,[0.],[0.0550994]
47,347850500.0,83680000.0,101325.0,447.0,0.0,[0.],[0.05795239]
48,347850500.0,83680000.0,101325.00000000001,448.0,0.0,[0.],[0.06093937]
49,347850500.0,83680000.0,101325.00000000001,449.0,0.0,[0.],[0.06406596]
50,347850500.0,83680000.0,101325.0,450.0,0.0,[0.],[0.06733799]
51,347850500.0,83680000.0,101325.00000000001,451.0,0.0,[0.],[0.0707615]
52,347850500.0,83680000.0,101325.0,452.0,0.0,[0.],[0.07434275]
53,347850500.0,83680000.0,101325.0,453.0,0.0,[0.],[0.07808823]
54,347850500.0,83680000.0,101325.0,454.0,0.0,[0.],[0.08200464]
55,347850500.0,83680000.0,101325.0,455.0,0.0,[0.],[0.08609896]
56,347850500.0,83680000.0,101325.0,456.0,0.0,[0.],[0.09037838]
57,347850500.0,83680000.0,101325.0,457.0,0.0,[0.],[0.09485037]
58,347850500.0,83680000.0,101325.0,458.0,0.0,[0.],[0.09952264]
59,347850500.0,83680000.0,101324.99999999999,459.0,0.0,[0.],[0.10440319]
60,347850500.0,83680000.0,101325.00000000001,460.0,0.0,[0.],[0.10950028]
61,347850500.0,83680000.0,101325.0,461.0,0.0,[0.],[0.11482247]
62,347850500.0,83680000.0,101325.0,462.0,0.0,[0.],[0.12037861]
